,principal_component_1,principal_component_2,principal_component_3
Latitude,0.7049535917840064,0.05473558675459817,0.05354430404338586
Longitude,-0.6933766386339492,-0.13358952180074826,0.148635693738484
rating,-0.04677092792069947,0.7066123947424306,0.7033695094520128
total_ratings,-0.14171009395576264,0.6927169543212035,-0.6930452880040551
